Name;OriginalSize;BxesSize;BxesPreprocessing;ZipSize;BxesToXesSize;ExiSize;ValuesRepeatCoef;AttributesRepeatCoef;ValuesVariantsCoef;AttributesVariantsCoef
file_write_project_25;17146918;309397;304591;740011;17247518;364206;0.0008541755115615649;0.000756685295354869;0.029641682613528286;0.061263708955965675
dynamic_assembly_loading_75;111274552;2122909;2086992;4623610;111952992;2214399;0.0001874410661959099;0.00012259228310787287;0.026528743624537224;0.056735270149904295
loh_allocations_25;1451463858;20088049;20825399;33046701;1464611948;19152039;4.681745070096741E-05;2.2098658907980035E-05;0.007886899077318925;0.016916652041208163
file_async_operations_25;108063710;2263518;2228891;4051554;108851860;2233468;0.00013351419852708558;7.857002913759219E-05;0.03584121319559218;0.07486213931422568
not_existing_assembly_loading_1;1403475;58647;58844;61983;1412456;47705;0.0032494940913592426;0.0020655979832880146;0.10511185746001024;0.21250901225666907
array_pooling_1;1628377;51264;50869;61194;1645043;44652;0.004856890357256398;0.0023884832621572935;0.05791821387701721;0.1207018967440917
finalizable_object_50;44129347;934908;867868;1642132;44514522;961418;0.00033405902928259544;0.00018986826629110157;0.029367310976962466;0.06795286233155769
task_test_project_75;146659466;2806627;2752345;6281871;147528136;2962949;0.00016301252599125736;0.00011030762898879036;0.023632716980954923;0.04961187617009819
array_pooling_50;81271210;1776907;1741530;3007343;82105780;1784559;0.00022261542601043703;0.00016059881572311595;0.026137694626390623;0.057029017872967935
unsafe_fixed_75;36930720;628451;613636;1706882;37159570;795669;0.0005342146801223016;0.0004145504855813217;0.023539508878352818;0.04975022000779331
yield_enumerator_25;11774287;223274;220725;555900;11846482;265112;0.0012425310522402985;0.0009756802680629703;0.032097590946477586;0.06712495226191716
not_existing_assembly_loading_75;104651855;2129809;2088228;4544666;105321770;2216802;0.00016977710908654172;0.00011212931973283115;0.029281558527424596;0.06270262352187449
JUnit 4.12 Software Event Log;2049383;53985;54255;81043;2097357;42855;0.008635222219203053;0.0031803806326460527;0.07247742680813547;0.25125523012552303
Sepsis Cases - Event Log;5441435;147051;147498;182652;5886334;159572;0.0033495082295812583;0.0013724919046301646;0.019240827655464355;0.045704425373362244
BPI Challenge 2018;1946897684;105579927;104369513;151167704;2010952152;114077209;3.89668329037533E-06;1.653984066036686E-06;0.0926156941789075;0.1938527641593728
Hospital_log;85363264;820868;812376;2170365;90870885;956184;0.0034054827471426997;0.00115812733211195;0.0019500270181623401;0.0057124539793431475
BPI Challenge 2017;578941403;2472100;2462567;26339829;293423918;22738334;2.7649498345241967E-05;4.220019541099632E-05;0.029203433024706123;0.08490882287288207
Hospital Billing - Event Log;174298183;3980243;3964168;5956718;186861180;4891462;0.0022272589736128173;0.0014441707864235845;0.0007120793006938403;0.001531773490621718
Road_Traffic_Fine_Management_Process;185382899;1435226;1425303;2946229;197606891;2328350;0.003518001609703663;0.0010225392383684073;0.0005060091506825634;0.0017387552155574922
log2;207345060;2078370;2062459;2487742;222830689;1565697;4.969409539750218E-05;4.540995150589763E-05;0.0400538024556586;0.08341718995263392
log1;207578632;2040021;2048498;2515157;223081621;1717698;4.963794501647185E-05;4.535276221734996E-05;0.04005583749136827;0.08343048566072928
Statechart Workbench and Alignments Software Event Log;47663197;364117;359330;415993;48872738;345778;0.0006988502828013667;0.0005974524523357946;0.03929816349908236;0.0854629936939927
BPIC15_3;46768886;1428594;1420625;2024101;49410960;1232210;0.0003045232645415837;0.00012460049181361503;0.052150785700375964;0.11853738122009833
BPIC15_1;41227060;1299382;1294390;1965191;43556222;1110654;0.00032746209058674973;0.0001320385552051167;0.0552484039859479;0.12667006246033602
BPIC15_4;36998010;1045049;1055641;1750283;39148433;916773;0.0004756964888107512;0.00018999415113196827;0.04255583332871404;0.10014818531060848
BPIC15_5;46039768;1318465;1326688;2280469;48763627;1154894;0.0003582205453444395;0.0001454805302770501;0.04511450687130148;0.104217899645199
activitylog_uci_detailed_labour;339236;10687;10673;11698;370199;10052;0.11986763083711237;0.15925179856115107;0.00595324524466386;0.008954154727793696
edited_hh104_labour;993440;30461;30440;32574;1090169;27350;0.09451279047061122;0.14258490437623358;0.002061855670103093;0.003330161750713606
edited_hh110_labour;333997;10597;10581;11583;365266;9955;0.11726746773475745;0.15307027266681444;0.006093137966052517;0.009325681492109038
edited_hh110_weekends;89510;3406;3395;3762;97596;3348;0.12378048780487805;0.1712995961035875;0.021424745581146223;0.030913978494623656
edited_hh102_weekends;102375;3825;3819;4365;111619;3793;0.11357233607689333;0.14548998759525072;0.02048594568842306;0.031839622641509434
edited_hh104_weekends;415642;13096;13091;14027;455288;12005;0.11240075713759926;0.14219500082767755;0.005119255381035486;0.008083140877598153
edited_hh102_labour;279669;9069;9054;10041;305496;8646;0.11440327558038682;0.1471819645732689;0.00752405949256343;0.011678200692041523
activitylog_uci_detailed_weekends;120596;4192;4180;4800;131204;4187;0.096123656563217;0.1646090534979424;0.016069221260815822;0.024390243902439025
BPI_Challenge_2013_closed_problems;4188481;110741;111521;171828;4476312;120321;0.0064321497529763235;0.00206728247945123;0.022804506587397702;0.08670918016240767
BPI_Challenge_2013_incidents;39553525;786383;783942;1191679;42763629;855725;0.0017765281736487376;0.0005719789548142611;0.008516090490339417;0.02839774379983421
BPI_Challenge_2013_open_problems;1402523;44120;44838;63114;1480383;45391;0.013174370499494527;0.00384488682951934;0.03125068967800313;0.11694049427032997
nasa-cev-complete-splitted;74881861;1108220;1096631;1264505;79313091;909780;0.0002490438359919479;0.0001209933775346758;0.051706743623036844;0.10091235524867075
nasa-cev-1-10-single-trace;51349;4179;4133;3567;54666;3455;0.043728654657469966;0.046351339708796326;0.17341772151898735;0.2892998678996037
nasa-cev-complete-single-trace;61529300;904627;876556;1203454;66590185;816904;0.00014290705185511553;0.00013071667630930097;0.04252732856776934;0.08852155739852696
